,TrackID,TrackName,Popularity,Duration,Explicit,Artists,ArtistsID,ReleaseYear,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,TimeSignature,artists_upd_v1,artists_upd_v2,artists_upd,artists_song,consolidates_genre_lists,popularity_red
232794,0OlcRVDP38NybNfV87BWHV,Na Ri Na,38,219360,0,['Lura'],['0zNTRuF4PDWOt7IGHpGyNc'],2004,0.735,0.558,6,-6.099,0,0.028,0.535,0.00092,0.154,0.689,100.905,4,['Lura'],[],['Lura'],Lura+Na Ri Na,"['morna', 'kizomba_antigas', 'afropop', 'world']",7
232944,3u4s8my5WYxYV34tOR7tJx,Wenn ich tot bin...(sollst du tanzen),37,261040,0,['Luna Luna'],['1hlEjN48jqZY574SZSjniJ'],1997,0.537,0.811,7,-9.211,1,0.0328,0.239,0.0,0.154,0.581,95.882,4,['Luna Luna'],[],['Luna Luna'],Luna Luna+Wenn ich tot bin...(sollst du tanzen),['dallas_indie'],7
232989,6NiHwLwUkcAAdTXsVFGe2P,Три пути,45,265133,0,['Lumen'],['7tQd3Qyg1i6U9FS1tNb0ne'],2014,0.267,0.82,9,-5.91,0,0.0553,0.0126,6.07e-05,0.776,0.206,80.925,4,['Lumen'],[],['Lumen'],Lumen+Три пути,"['russian_punk', 'russian_nu_metal', 'russian_alternative_rock', 'russian_rock']",9
232993,322giII4lLwlOlCaPy4PAb,На Части,31,297027,0,['Lumen'],['7tQd3Qyg1i6U9FS1tNb0ne'],2012,0.41,0.646,2,-5.64,0,0.0383,0.0021,0.214,0.106,0.0797,84.511,4,['Lumen'],[],['Lumen'],Lumen+На Части,"['russian_punk', 'russian_nu_metal', 'russian_alternative_rock', 'russian_rock']",6
232995,0O2bfDHoZtL96zHM9Eijaz,Космонавт,25,177653,0,['Lumen'],['7tQd3Qyg1i6U9FS1tNb0ne'],2003,0.359,0.826,2,-5.766,1,0.0561,0.00361,0.0,0.275,0.413,145.74,4,['Lumen'],[],['Lumen'],Lumen+Космонавт,"['russian_punk', 'russian_nu_metal', 'russian_alternative_rock', 'russian_rock']",5
232998,4Xb9YEgbAktML8DUW0NKTB,Бабочки,25,182480,0,['Lumen'],['7tQd3Qyg1i6U9FS1tNb0ne'],2003,0.473,0.781,7,-6.331,1,0.0483,0.0137,0.0,0.165,0.464,120.016,4,['Lumen'],[],['Lumen'],Lumen+Бабочки,"['russian_punk', 'russian_nu_metal', 'russian_alternative_rock', 'russian_rock']",5
233040,1TIvODlICRKM5uhbKbNFGA,Tempos Modernos,65,224907,0,['Lulu Santos'],['0A1oy7PC7fdzURgaLaWkL1'],2000,0.604,0.638,5,-8.235,1,0.029,0.0564,0.0,0.965,0.784,125.867,4,['Lulu Santos'],[],['Lulu Santos'],Lulu Santos+Tempos Modernos,"['brazilian_rock', 'mpb', 'pop_nacional']",13
233268,74HIWeqpEhpGumPhIbQhqr,Porta aberta,46,222280,0,['Luka'],['4zsL84VX58gwFW07dWQGer'],2003,0.753,0.695,7,-6.896,1,0.0377,0.125,0.0,0.16,0.415,99.986,4,['Luka'],[],['Luka'],Luka+Porta aberta,['pop_nacional'],9
233381,0V7iPl67ctA3MioAzO2ae5,O Xote das Meninas,50,171040,0,['Luiz Gonzaga'],['2ZofT7n9AlTKf7KDCoHGgD'],2000,0.7,0.509,4,-8.622,0,0.0582,0.599,0.0,0.151,0.867,155.707,4,['Luiz Gonzaga'],[],['Luiz Gonzaga'],Luiz Gonzaga+O Xote das Meninas,"['bossa_nova', 'samba', 'mpb', 'velha_guarda', 'forro_tradicional', 'baiao', 'forro', 'accordion']",10
233692,2HoszTlgrf8jX8n0tB7Mcv,Uno,38,247667,0,['Luis Miguel'],['2nszmSgqreHSdJA3zWPyrW'],1998,0.29,0.436,3,-8.797,1,0.029,0.51,0.0,0.286,0.184,99.205,4,['Luis Miguel'],[],['Luis Miguel'],Luis Miguel+Uno,"['latin', 'latin_pop', 'bolero']",7
